{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0054, 'n_source': 1550, 'n_target': 50, 'classical': 0.205, 'labeled': 0.015, 'iter': 34}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0053, 'n_source': 1550, 'n_target': 50, 'classical': 0.1825, 'labeled': 0.01, 'iter': 71}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0039, 'n_source': 1550, 'n_target': 50, 'classical': 0.165, 'labeled': 0.005, 'iter': 48}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0048, 'n_source': 1550, 'n_target': 50, 'classical': 0.1675, 'labeled': 0.0075, 'iter': 54}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0039, 'n_source': 1550, 'n_target': 50, 'classical': 0.1925, 'labeled': 0.0075, 'iter': 47}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0039, 'n_source': 1550, 'n_target': 50, 'classical': 0.175, 'labeled': 0.0025, 'iter': 67}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0043, 'n_source': 1550, 'n_target': 50, 'classical': 0.17, 'labeled': 0.015, 'iter': 68}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0044, 'n_source': 1550, 'n_target': 50, 'classical': 0.165, 'labeled': 0.0125, 'iter': 17}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0052, 'n_source': 1550, 'n_target': 50, 'classical': 0.185, 'labeled': 0.005, 'iter': 65}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0055, 'n_source': 1550, 'n_target': 50, 'classical': 0.1875, 'labeled': 0.0075, 'iter': 75}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0041, 'n_source': 1550, 'n_target': 50, 'classical': 0.175, 'labeled': 0.0075, 'iter': 56}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.004, 'n_source': 1550, 'n_target': 50, 'classical': 0.16, 'labeled': 0.005, 'iter': 55}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0057, 'n_source': 1550, 'n_target': 50, 'classical': 0.23, 'labeled': 0.0075, 'iter': 74}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0039, 'n_source': 1550, 'n_target': 50, 'classical': 0.1975, 'labeled': 0.005, 'iter': 69}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0057, 'n_source': 1550, 'n_target': 50, 'classical': 0.1925, 'labeled': 0.0125, 'iter': 25}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0047, 'n_source': 1550, 'n_target': 50, 'classical': 0.1725, 'labeled': 0.01, 'iter': 52}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0045, 'n_source': 1550, 'n_target': 50, 'classical': 0.2025, 'labeled': 0.005, 'iter': 41}
