{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0199, 'n_source': 25, 'n_target': 100, 'lipton': 0.2, 'prop-target': 0.68, 'oracle': 0.2, 'iter': 96}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.018, 'n_source': 25, 'n_target': 100, 'lipton': 0.1575, 'prop-target': 0.7, 'oracle': 0.1575, 'iter': 90}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0191, 'n_source': 25, 'n_target': 100, 'lipton': 0.18, 'prop-target': 0.78, 'oracle': 0.18, 'iter': 91}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.018, 'n_source': 25, 'n_target': 100, 'lipton': 0.235, 'prop-target': 0.6500000000000001, 'oracle': 0.235, 'iter': 97}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0202, 'n_source': 25, 'n_target': 100, 'lipton': 0.1875, 'prop-target': 0.65, 'oracle': 0.1875, 'iter': 99}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0197, 'n_source': 25, 'n_target': 100, 'lipton': 0.195, 'prop-target': 0.59, 'oracle': 0.195, 'iter': 95}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0199, 'n_source': 50, 'n_target': 100, 'lipton': 0.1575, 'prop-target': 0.6799999999999999, 'oracle': 0.1575, 'iter': 80}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0193, 'n_source': 50, 'n_target': 100, 'lipton': 0.19, 'prop-target': 0.8500000000000001, 'oracle': 0.19, 'iter': 63}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0192, 'n_source': 50, 'n_target': 100, 'lipton': 0.13, 'prop-target': 0.6599999999999999, 'oracle': 0.13, 'iter': 62}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0195, 'n_source': 50, 'n_target': 100, 'lipton': 0.185, 'prop-target': 0.76, 'oracle': 0.185, 'iter': 65}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.021, 'n_source': 50, 'n_target': 100, 'lipton': 0.19, 'prop-target': 0.77, 'oracle': 0.19, 'iter': 64}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0178, 'n_source': 50, 'n_target': 100, 'lipton': 0.165, 'prop-target': 0.7400000000000001, 'oracle': 0.165, 'iter': 82}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0181, 'n_source': 50, 'n_target': 100, 'lipton': 0.1725, 'prop-target': 0.74, 'oracle': 0.1725, 'iter': 81}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0176, 'n_source': 50, 'n_target': 100, 'lipton': 0.18, 'prop-target': 0.74, 'oracle': 0.18, 'iter': 84}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.018, 'n_source': 50, 'n_target': 100, 'lipton': 0.17, 'prop-target': 0.77, 'oracle': 0.17, 'iter': 68}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0192, 'n_source': 50, 'n_target': 100, 'lipton': 0.215, 'prop-target': 0.79, 'oracle': 0.2125, 'iter': 67}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0195, 'n_source': 50, 'n_target': 100, 'lipton': 0.225, 'prop-target': 0.6721951219512196, 'oracle': 0.2225, 'iter': 85}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0192, 'n_source': 50, 'n_target': 100, 'lipton': 0.16, 'prop-target': 0.73, 'oracle': 0.1625, 'iter': 83}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0205, 'n_source': 50, 'n_target': 100, 'lipton': 0.2075, 'prop-target': 0.65, 'oracle': 0.2075, 'iter': 71}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0186, 'n_source': 25, 'n_target': 100, 'lipton': 0.1675, 'prop-target': 0.79, 'oracle': 0.1675, 'iter': 98}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0206, 'n_source': 50, 'n_target': 100, 'lipton': 0.2025, 'prop-target': 0.67, 'oracle': 0.2025, 'iter': 39}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0162, 'n_source': 50, 'n_target': 100, 'lipton': 0.1575, 'prop-target': 0.67, 'oracle': 0.1575, 'iter': 3}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0189, 'n_source': 50, 'n_target': 100, 'lipton': 0.15, 'prop-target': 0.73, 'oracle': 0.15, 'iter': 36}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0194, 'n_source': 50, 'n_target': 100, 'lipton': 0.1725, 'prop-target': 0.77, 'oracle': 0.1725, 'iter': 13}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0206, 'n_source': 50, 'n_target': 100, 'lipton': 0.1325, 'prop-target': 0.76, 'oracle': 0.1325, 'iter': 4}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0196, 'n_source': 50, 'n_target': 100, 'lipton': 0.1775, 'prop-target': 0.75, 'oracle': 0.1775, 'iter': 74}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0189, 'n_source': 50, 'n_target': 100, 'lipton': 0.19, 'prop-target': 0.7100000000000001, 'oracle': 0.19, 'iter': 51}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0174, 'n_source': 50, 'n_target': 100, 'lipton': 0.205, 'prop-target': 0.63, 'oracle': 0.205, 'iter': 31}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0206, 'n_source': 50, 'n_target': 100, 'lipton': 0.1875, 'prop-target': 0.65, 'oracle': 0.1875, 'iter': 14}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0203, 'n_source': 50, 'n_target': 100, 'lipton': 0.1475, 'prop-target': 0.85, 'oracle': 0.1475, 'iter': 33}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0192, 'n_source': 50, 'n_target': 100, 'lipton': 0.1525, 'prop-target': 0.67, 'oracle': 0.1525, 'iter': 47}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0188, 'n_source': 50, 'n_target': 100, 'lipton': 0.17, 'prop-target': 0.73, 'oracle': 0.17, 'iter': 5}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0206, 'n_source': 50, 'n_target': 100, 'lipton': 0.1775, 'prop-target': 0.7617391304347826, 'oracle': 0.1775, 'iter': 19}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0195, 'n_source': 50, 'n_target': 100, 'lipton': 0.1825, 'prop-target': 0.82, 'oracle': 0.1825, 'iter': 72}
ter': 26}
