{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0207, 'n_source': 25, 'n_target': 100, 'lipton': 0.21, 'oracle': 0.2, 'iter': 77}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.018, 'n_source': 25, 'n_target': 100, 'lipton': 0.58, 'oracle': 0.17, 'iter': 74}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0215, 'n_source': 25, 'n_target': 100, 'lipton': 0.56, 'oracle': 0.25, 'iter': 80}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0199, 'n_source': 25, 'n_target': 100, 'lipton': 0.18, 'oracle': 0.18, 'iter': 72}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0192, 'n_source': 25, 'n_target': 100, 'lipton': 0.2, 'oracle': 0.2, 'iter': 78}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0196, 'n_source': 25, 'n_target': 100, 'lipton': 0.25, 'oracle': 0.25, 'iter': 82}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0201, 'n_source': 25, 'n_target': 100, 'lipton': 0.23, 'oracle': 0.23, 'iter': 75}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0209, 'n_source': 25, 'n_target': 100, 'lipton': 0.62, 'oracle': 0.16, 'iter': 76}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0196, 'n_source': 25, 'n_target': 100, 'lipton': 0.12, 'oracle': 0.12, 'iter': 83}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0193, 'n_source': 25, 'n_target': 100, 'lipton': 0.26, 'oracle': 0.26, 'iter': 84}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0202, 'n_source': 100, 'n_target': 100, 'lipton': 0.39, 'oracle': 0.2, 'iter': 11}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0212, 'n_source': 100, 'n_target': 100, 'lipton': 0.49, 'oracle': 0.12, 'iter': 8}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0194, 'n_source': 100, 'n_target': 100, 'lipton': 0.2, 'oracle': 0.2, 'iter': 10}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0187, 'n_source': 100, 'n_target': 100, 'lipton': 0.46, 'oracle': 0.12, 'iter': 6}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0161, 'n_source': 100, 'n_target': 100, 'lipton': 0.22, 'oracle': 0.21, 'iter': 4}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0178, 'n_source': 100, 'n_target': 100, 'lipton': 0.4, 'oracle': 0.19, 'iter': 7}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0197, 'n_source': 100, 'n_target': 100, 'lipton': 0.14, 'oracle': 0.14, 'iter': 9}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0185, 'n_source': 100, 'n_target': 100, 'lipton': 0.42, 'oracle': 0.16, 'iter': 5}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0175, 'n_source': 50, 'n_target': 100, 'lipton': 0.56, 'oracle': 0.12, 'iter': 64}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0197, 'n_source': 50, 'n_target': 100, 'lipton': 0.47, 'oracle': 0.2, 'iter': 40}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0194, 'n_source': 50, 'n_target': 100, 'lipton': 0.56, 'oracle': 0.28, 'iter': 42}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0172, 'n_source': 50, 'n_target': 100, 'lipton': 0.51, 'oracle': 0.17, 'iter': 54}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0169, 'n_source': 25, 'n_target': 100, 'lipton': 0.14, 'oracle': 0.14, 'iter': 90}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0174, 'n_source': 50, 'n_target': 100, 'lipton': 0.54, 'oracle': 0.18, 'iter': 74}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.019, 'n_source': 50, 'n_target': 100, 'lipton': 0.72, 'oracle': 0.11, 'iter': 62}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0196, 'n_source': 50, 'n_target': 100, 'lipton': 0.51, 'oracle': 0.16, 'iter': 76}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0199, 'n_source': 50, 'n_target': 100, 'lipton': 0.55, 'oracle': 0.13, 'iter': 95}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0191, 'n_source': 50, 'n_target': 100, 'lipton': 0.54, 'oracle': 0.14, 'iter': 85}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0169, 'n_source': 50, 'n_target': 100, 'lipton': 0.46, 'oracle': 0.15, 'iter': 86}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.018, 'n_source': 50, 'n_target': 100, 'lipton': 0.54, 'oracle': 0.19, 'iter': 91}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0194, 'n_source': 50, 'n_target': 100, 'lipton': 0.5, 'oracle': 0.16, 'iter': 80}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0185, 'n_source': 50, 'n_target': 100, 'lipton': 0.14, 'oracle': 0.14, 'iter': 79}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0182, 'n_source': 50, 'n_target': 100, 'lipton': 0.47, 'oracle': 0.15, 'iter': 82}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0196, 'n_source': 50, 'n_target': 100, 'lipton': 0.52, 'oracle': 0.14, 'iter': 89}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0206, 'n_source': 50, 'n_target': 100, 'lipton': 0.5, 'oracle': 0.14, 'iter': 90}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0188, 'n_source': 50, 'n_target': 100, 'lipton': 0.39, 'oracle': 0.2, 'iter': 88}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.02, 'n_source': 50, 'n_target': 100, 'lipton': 0.54, 'oracle': 0.12, 'iter': 61}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0195, 'n_source': 50, 'n_target': 100, 'lipton': 0.13, 'oracle': 0.13, 'iter': 65}
