{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.053, 'n_source': 25, 'n_target': 100, 'lipton': 0.34, 'prop-target': 0.5600000000000003, 'oracle': 0.32, 'iter': 36}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0551, 'n_source': 25, 'n_target': 100, 'lipton': 0.61, 'prop-target': 0.3452307692307691, 'oracle': 0.31, 'iter': 33}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0565, 'n_source': 25, 'n_target': 100, 'lipton': 0.37, 'prop-target': 0.6214285714285713, 'oracle': 0.36, 'iter': 34}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0531, 'n_source': 25, 'n_target': 100, 'lipton': 0.25, 'prop-target': 0.7896296296296297, 'oracle': 0.25, 'iter': 35}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.055, 'n_source': 25, 'n_target': 100, 'lipton': 0.65, 'prop-target': 0.38823529411764707, 'oracle': 0.35, 'iter': 40}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0544, 'n_source': 25, 'n_target': 100, 'lipton': 0.36, 'prop-target': 0.6295384615384614, 'oracle': 0.35, 'iter': 32}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0552, 'n_source': 25, 'n_target': 100, 'lipton': 0.3, 'prop-target': 0.8679999999999998, 'oracle': 0.3, 'iter': 46}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0545, 'n_source': 25, 'n_target': 100, 'lipton': 0.69, 'prop-target': 0.41000000000000003, 'oracle': 0.3, 'iter': 16}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0564, 'n_source': 25, 'n_target': 100, 'lipton': 0.69, 'prop-target': 0.3210810810810813, 'oracle': 0.26, 'iter': 17}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0583, 'n_source': 25, 'n_target': 100, 'lipton': 0.34, 'prop-target': 0.74, 'oracle': 0.33, 'iter': 47}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0562, 'n_source': 25, 'n_target': 100, 'lipton': 0.4, 'prop-target': 0.7236842105263157, 'oracle': 0.4, 'iter': 52}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0567, 'n_source': 25, 'n_target': 100, 'lipton': 0.32, 'prop-target': 0.7303703703703703, 'oracle': 0.32, 'iter': 15}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0554, 'n_source': 25, 'n_target': 100, 'lipton': 0.61, 'prop-target': 0.4225, 'oracle': 0.3, 'iter': 18}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0559, 'n_source': 25, 'n_target': 100, 'lipton': 0.3, 'prop-target': 0.7243076923076923, 'oracle': 0.3, 'iter': 11}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0509, 'n_source': 25, 'n_target': 100, 'lipton': 0.42, 'prop-target': 0.5090909090909091, 'oracle': 0.42, 'iter': 14}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0584, 'n_source': 25, 'n_target': 100, 'lipton': 0.35, 'prop-target': 0.6677477477477478, 'oracle': 0.35, 'iter': 10}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0536, 'n_source': 25, 'n_target': 100, 'lipton': 0.29, 'prop-target': 0.6181818181818183, 'oracle': 0.28, 'iter': 43}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0548, 'n_source': 25, 'n_target': 100, 'lipton': 0.35, 'prop-target': 0.7594029850746269, 'oracle': 0.35, 'iter': 25}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0543, 'n_source': 25, 'n_target': 100, 'lipton': 0.61, 'prop-target': 0.34941176470588237, 'oracle': 0.34, 'iter': 31}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0552, 'n_source': 25, 'n_target': 100, 'lipton': 0.39, 'prop-target': 0.6184810126582277, 'oracle': 0.38, 'iter': 24}
